gene_name	cluster_id
Hsp68	7
Hsp70Bc	7
DnaJ-1	7
Hsp83	7
stv	7
Hsp67Ba	7
Hsp70Aa	7
Hsp70Ab	7
CR31451	7
Hsc70-4	7
mt:lrRNA	7
fne	7
Hsc70-3	7
l(1)G0469	7
RpL29	7
bru3	7
AsnS	7
CR40190	7
CG41128	7
CR44024	7
Hr38	7
Dop2R	7
Sirup	7
Uhg4	7
prim	7
Uhg5	7
hdc	7
CG5010	7
ref(2)P	7
sr	7
mt:ND2	7
Ctr9	7
RpS9	7
CG30172	7
CG14186	7
RpL9	7
mt:ND1	7
ND-AGGG	7
pros	7
AMPdeam	7
Hsc70Cb	7
Ubi-p63E	7
brat	7
CG17698	7
CG1927	7
nkd	7
Gpb5	7
CG6191	7
CG4080	7
CG4577	7
jeb	7
CG46301	7
CG33170	7
Gadd45	7
eIF5	7
spab	7
CG3009	7
Drep1	7
CG32276	7
Hsf	7
CG17778	7
Lim1	7
Pka-R2	8
sNPF	8
prt	8
Rgk1	8
GstD11	8
Pka-C1	8
CG32204	8
jdp	8
mub	8
Imp	8
CG34402	8
Dop1R2	8
mamo	8
Pka-C3	8
ab	8
rut	8
Pkc53E	8
Bx	8
CG32700	8
Pka-R1	8
Mef2	8
cora	8
Dop1R1	8
Nep1	8
CG31997	8
CG11191	8
CG30158	8
ey	8
rad	8
CAH2	8
FK506-bp2	8
toy	8
Hr51	8
fz	8
CG17816	8
Sytalpha	8
kuz	8
CG32066	8
Df31	8
fru	8
dysc	8
PH4alphaNE1	8
dac	8
Cngl	8
dlp	8
CG3625	8
mspo	8
bru2	8
eEF1alpha2	8
CG13055	8
CG43324	8
sals	8
dnc	8
dlg1	8
Appl	8
Act5C	8
Nlg3	8
CG45263	8
CG7646	8
nAChRalpha6	8
cpx	8
bru3	8
CG32647	8
Octbeta1R	8
kek1	8
CG42402	8
CG13739	8
CG5830	8
l(1)G0469	8
gish	8
Rbp	8
a	8
Smox	8
stai	8
Gbeta13F	8
PVRAP	8
btsz	8
cpo	8
dpr8	8
Gfrl	8
Ric	8
Fas2	8
RhoGDI	8
Dif	8
LysRS	8
CG8034	8
Lgr3	8
CG15459	8
VAChT	8
sdt	8
CG31191	8
CG17778	8
HDAC4	8
igl	8
corn	8
bun	8
slo	8
CG15765	8
Slob	8
CG32392	8
CG9813	8
Con	8
CG30463	8
cmpy	8
5-HT1B	8
GluRIB	8
CanB	8
Nacalpha	8
CG42817	8
CG43658	8
rdgC	8
tna	8
olf413	8
Shawl	8
fne	8
Rap1	8
CG30116	8
GstD1	8
Mical	8
Rgk3	8
CG11221	8
Ppcs	8
tow	8
dpr12	8
GluRIA	8
metro	8
zfh2	8
amon	8
emc	8
trio	8
Pde1c	8
Hsp83	8
wdb	8
Mkp3	8
Rab27	8
CG10947	8
CG4660	8
Pkc98E	8
tsr	8
CG13921	8
Rdl	8
CG18812	8
Trpm	8
CG34219	8
cv-c	8
dpr9	8
DnaJ-1	8
Eip93F	8
CG42313	8
comm	8
betaTub56D	8
CG14509	8
Ac78C	8
CG44774	8
CG12560	8
mgl	8
bma	8
Snap24	8
Spred	8
eEF5	8
CG13784	8
sca	8
sgg	8
fend	8
smt3	8
CG12071	8
cact	8
fs(1)h	8
CG11768	8
eff	8
CG7378	8
RpL10	8
fax	8
scyl	8
CG42788	8
fwe	8
Hsp26	8
Unr	8
His2B:CG33868	8
tut	8
Ca-beta	8
CG12194	8
CG42392	8
Caper	8
CG15097	8
CG10508	8
nAChRalpha5	8
CG32085	8
CG4502	8
phyl	8
coro	8
chn	8
pyd	8
wry	8
Rab26	8
Ndae1	8
CG15630	8
CG31140	8
CG42324	8
Calx	8
Rgl	8
CG9801	8
Hr38	8
Tctp	8
CG14478	8
alphagamma-element:CR32865	8
B52	8
rgn	8
eIF3e	8
CG32506	8
CG16711	8
CG42238	8
sick	8
crol	8
fok	8
TBCB	8
CG9368	8
Tomosyn	8
CG42339	8
CG5890	8
grp	8
Flo1	8
CG10257	8
elav	8
pAbp	8
CG33543	8
SRPK	8
CG1943	8
CG32280	8
CG1129	8
CG9391	8
Oli	8
CtBP	8
dikar	8
Hsp27	8
RpS23	8
RpL26	8
eIF3b	8
CG6765	8
Lis-1	8
CG9171	8
PDCD-5	8
Cals	8
CG13551	8
CG7694	8
Pabp2	8
puc	8
CG8498	8
TfIIS	8
CG6154	8
brat	8
lwr	8
CG42260	8
sqd	8
Hel25E	8
RhoGAP71E	8
Rac1	8
Nrg	8
CG43736	8
Sema1a	8
me31B	8
mGluR	8
CG4297	8
CG32428	8
Elk	8
CycT	8
Sema2b	8
lark	8
CG8726	8
C3G	8
brp	8
CG17514	8
Cip4	8
Ref1	8
stv	8
CG3726	8
CG3689	8
CycG	8
Dnz1	8
CkIIalpha	8
CG31760	8
PIP4K	8
CG1504	8
CG11319	8
rdgBbeta	8
Cdk5alpha	8
Pp1-87B	8
px	8
CG30389	8
Cow	8
CG34353	8
Pcd	8
TBPH	8
Galphas	8
CG33116	8
CG15916	8
mAChR-B	8
Spn	8
RpS9	8
Dhpr	8
CG4596	8
Naa20A	8
bsk	8
CG5746	8
U2af50	8
Hrb98DE	8
PIG-B	8
Hsp23	8
nAChRalpha1	8
Magi	8
pod1	8
Mapmodulin	8
CG13300	8
CG8910	8
nrm	8
dpr10	8
Drep2	8
Arl6IP1	8
Hsc70Cb	8
thoc7	8
Dscam4	8
Fs(2)Ket	8
par-1	8
Dscam1	8
CanA-14F	8
CG17272	8
mbf1	8
CG6767	8
Pp2A-29B	8
mts	8
Cka	8
cac	8
CG32243	8
CG7708	8
CG11537	8
RhoBTB	8
skd	8
CG17202	8
Plc21C	8
toc	8
Mi-2	8
l(3)L1231	8
CoRest	8
upSET	8
Ncoa6	8
Hsp70Bc	8
CG8108	8
Cdc37	8
osa	8
scrib	8
Dsp1	8
AGO1	8
CG10132	8
Oamb	8
CG34449	8
CG7185	8
CG7990	8
CG11873	8
CG3967	8
da	8
CG4230	8
stx	8
rin	8
wmd	8
Ca-alpha1D	8
CG14312	8
Ktl	8
mmd	8
CG6867	8
sr	8
CG17124	8
CG43222	8
Hsp68	8
FoxP	8
Rab3	8
Ubi-p5E	8
HmgZ	8
Rgk2	8
D	9
Sox21b	9
CR31451	9
CG31221	9
CG14762	9
SoxN	9
toy	9
Octbeta3R	9
Hasp	9
VAChT	9
Hs3st-A	9
spab	9
ChAT	9
bru3	9
hig	9
CG32683	9
DIP-theta	9
dpr13	9
px	9
ringer	9
TM4SF	9
Pde6	9
Optix	9
beat-VI	9
CG31814	9
klg	9
CG7708	9
CG9650	9
CG34113	9
eys	9
CG14459	9
Ptp99A	9
CG43795	9
Drl-2	9
Ten-m	9
nvy	9
CR45312	9
dpr6	9
Oct-TyrR	9
CG18467	9
CG34353	9
elB	9
St3	9
CG32206	9
CG15236	9
Toll-6	9
CG9394	10
Gat	10
CG31705	10
Gs2	10
alrm	10
CG1552	10
CG13631	10
CG15209	10
CG43693	10
CAH1	10
CG1537	10
Act79B	10
ogre	10
CG7607	10
Treh	10
Eaat1	10
Tsp5D	10
CG14141	10
Msr-110	10
CG4409	10
Rh50	10
wun2	10
rho	10
CG1545	10
e	10
GstE2	10
CG7888	10
Adgf-D	10
vir-1	10
MRE16	10
bbc	10
GstD3	10
Chd64	10
Inx2	10
Cyp28a5	10
CG8745	10
bdl	10
mfas	10
CG12730	10
GstE1	10
Cyp4g15	10
CG8369	10
CG14688	10
CR43459	10
nrv2	10
CR43334	10
CR17025	10
CG42342	10
AnxB9	10
CG10433	10
CR43651	10
Rac2	10
CG32032	10
RpL22	10
CG6465	10
GstE12	10
CG6357	10
GILT3	10
CR45018	10
CG32982	10
Arc1	10
aay	10
bnb	10
Galphai	10
Pdk	10
Sod3	10
Obp44a	10
CG31706	10
CG31235	10
Hexo2	10
mlt	10
CG1358	10
CR31044	10
CG15098	10
CG4829	10
CG7029	10
dally	10
CG13707	10
Amph	10
CR40469	10
Prosap	10
eEF1alpha1	10
Dat	10
Cyp9f2	10
Irk2	10
CG3940	10
CG34367	10
CG10365	10
fog	10
N	10
CR42491	10
CG42741	10
flw	10
htl	10
CG6287	10
S	10
Pino	10
Mdh1	10
pdgy	10
CG15203	10
CG32521	10
Got1	10
GstD9	10
repo	10
Invadolysin	10
wun	10
CG14945	10
CG30285	10
Picot	10
zfh2	10
GlcAT-P	10
fok	10
l(1)G0193	10
ninaB	10
CG9467	10
Ugt86Dd	10
RhoGAP18B	10
spir	10
GILT2	10
Lsd-2	10
CG6723	10
mbc	10
pnt	10
CG11791	10
CG30015	10
CG5895	10
Cyp28d1	10
Tet	10
RpL41	10
Syb	10
retm	10
ced-6	10
CG3376	10
CG12355	10
Ugt35b	10
CG5758	10
RapGAP1	10
sky	10
CG6770	10
Gapdh1	10
wgn	10
Oda	10
CG17508	10
RpLP2	10
RpLP1	10
CG5888	10
CG12991	10
spi	10
Mob2	10
capu	10
RpL27A	10
Xbp1	10
RpS20	10
Tctp	10
RpL13A	10
Eno	10
RpS26	10
RpL10Ab	10
RpL39	10
RpL37A	10
RpS29	10
RpL27	10
RpL17	10
Adgf-C	10
RpS13	10
CG13124	10
Cyp6a17	10
RpL30	10
myo	10
Tpi	10
IP3K2	10
lawc	10
sty	10
CG17739	10
snoRNA:Psi28S-2179	10
RpL35A	10
Hnf4	10
RpS23	10
CG5793	10
Xrp1	10
CG5955	10
CR45161	10
AdSS	10
Spn31A	10
CG17841	10
RpS24	10
Idgf3	10
Ald	10
CR44137	10
Got2	10
CG42265	10
betaggt-II	10
VhaM9.7-b	10
RpS15	10
Jarid2	10
hth	10
CLIP-190	10
Lamp1	10
CG9377	10
Ect4	10
h	10
Dbi	10
CG10527	10
RpS19a	10
CG5273	10
CG42394	10
Csas	10
CG12926	10
CG17896	10
MtnA	10
tsr	10
Gabat	10
Ptp4E	10
CG2493	10
baf	10
RpS5a	10
RpS21	10
par-1	10
CG6983	10
CG10352	10
cathD	10
temp	10
Chmp1	10
Pdxk	10
Jheh3	10
E23	10
fusl	10
cib	10
ine	10
Tsp42Ea	10
Sap-r	10
CG9657	10
Mes2	10
CG6834	10
eEF5	10
mnd	10
fray	10
CG12163	10
Hex-A	10
scf	10
RpS10b	10
Tsp42Ee	10
CG42788	10
CG32103	10
Nep4	10
Tsp42Ed	10
Cyt-b5	10
CG9917	10
brk	10
CG3790	10
fng	10
stumps	10
CG7084	10
Rab9	10
CR45131	10
CG12484	10
PGRP-LA	10
mrj	10
CG7149	10
CG12065	10
RpL32	10
Ssadh	10
JhI-26	10
Lapsyn	10
jvl	10
CG10654	10
CR18228	10
CG32195	10
CG31344	10
whd	10
eEF1gamma	10
CG10126	10
let-7-C	10
CG14968	10
Tsf1	10
Sirup	10
kay	10
Myd88	10
Glycogenin	10
CG8397	10
CG9471	10
Nhe3	10
Cyp12e1	10
CG12012	10
CG32354	10
ken	10
CG15611	10
CG42806	10
CG31549	10
CG15201	10
noc	10
Tre1	10
CG9686	10
GstE6	10
CG30159	10
CG34423	10
cnc	10
eEF1beta	10
CR43468	10
CG31974	10
CR44206	10
puc	10
kibra	10
Rab1	10
AANATL2	10
CG16743	10
CG8671	10
CG43341	10
Jwa	10
RpS16	10
CG12177	10
pst	10
Taldo	10
CG4297	10
santa-maria	10
l(2)k09913	10
ct	10
kra	10
Pp1-87B	10
CG18081	10
Synd	10
gb	10
Dll	10
CG17059	10
ttk	10
betaTub97EF	10
ktub	10
l(3)05822	10
tim	10
psq	10
Usp15-31	10
lqf	10
CG7378	10
CG8321	10
CycG	10
Mmp1	10
Sesn	10
CG12384	10
CG9743	10
cry	10
Tapdelta	10
CG31248	10
Cyp12a4	10
CG31673	10
CG32407	10
GstE3	10
skap	10
CR44029	10
Dscam1	10
euc	10
oys	10
Glo1	10
Trf2	10
Obp18a	10
CG42389	10
CG42240	10
Irk3	10
Sodh-2	10
Cyp9f3	10
CG11753	10
shrb	10
CG45050	10
Lk6	10
Sod1	10
REPTOR-BP	10
Jheh2	10
fabp	10
CG33054	10
mxt	10
CG12171	10
CAP	10
CG12768	10
CG3091	10
CG3168	10
SPARC	10
Su(Tpl)	10
zfh1	10
CG10863	10
jar	10
Fkbp14	10
CG9507	10
yip2	10
eIF3g1	10
RpS15Ab	10
CG8547	10
Naa60	10
CG11426	10
CG6950	10
CG7272	10
prage	10
CG10513	10
Atf3	10
CHMP2B	10
Wdr62	10
Tsp42Ef	10
pr	10
CalpB	10
CG7523	10
GstD1	10
Efa6	10
CG14687	10
D2hgdh	10
hoe1	10
SH3PX1	10
CG33941	10
nuf	10
CG4302	10
Pkn	10
ab	10
Idh	10
CdGAPr	10
CG8128	10
cer	10
glob1	10
axo	10
Ssk	10
CG44245	10
Drgx	10
CG7461	10
NLaz	10
Spn43Ab	10
CR44417	10
PH4alphaEFB	10
zyd	10
wal	10
CG15630	10
CG5590	10
CG7966	10
Mal-A5	10
CG6084	10
fru	10
CG9691	10
Npc2a	10
Thiolase	10
mgl	10
Idgf4	10
CG7737	10
RhoGEF2	10
Pcyt2	10
Inx3	10
Lmpt	10
pdm3	10
D	11
VGlut	11
Sox21b	11
CG45781	11
Nplp1	11
CG34355	11
CG32017	11
CG11294	11
CG10804	11
cpx	11
beat-Ic	11
kn	11
Frq1	11
RNASEK	11
nrv3	11
CR44978	11
DIP-eta	11
Snap25	11
Vha55	11
slgA	11
Hasp	11
Vha13	11
Vha68-1	11
CG9650	11
SoxN	11
Eip63F-1	11
Atox1	11
nSyb	11
svp	11
CG6329	11
Syt1	11
Vha26	11
CG32700	11
beat-VI	11
beat-Ib	11
DopEcR	11
shi	11
Cngl	11
TM4SF	11
CG5890	11
Ald	11
Pvf3	11
Proc	11
VhaM9.7-a	11
CG31808	11
bol	11
CG15478	11
Ets65A	11
Vha36-1	11
Hmx	11
Lim3	11
CG32544	11
CG13698	11
dpr2	11
msi	11
CG8861	11
Ptp99A	11
ct	11
eIF1A	11
Nca	11
LTV1	11
CG18208	11
GC1	11
Vha44	11
Nckx30C	11
CG1695	11
sif	11
Nlg4	11
nwk	11
CG13384	11
Oct-TyrR	11
erm	11
stmA	11
l(1)G0156	11
Ip259	11
VhaSFD	11
CG7407	11
gammaSnap1	11
eys	11
CG44153	11
tup	11
CG33199	11
CG43066	11
Tsp66E	11
Cchl	11
Scp2	11
side	11
5-HT2A	11
EndoA	11
dpr17	11
glec	11
CG1688	11
comt	11
Wdr62	11
Usf	11
CR45312	11
CG4743	11
CG31324	11
CG13685	11
CG7582	11
CG34351	11
dpr8	11
luna	11
CG3726	11
CG12994	11
CG34155	11
CG17839	11
Gad1	12
CG14989	12
CG11294	12
Lim3	12
VGAT	12
mab-21	12
msi	12
CG10804	12
CG13739	12
NLaz	12
CG8861	12
cpx	12
CG4766	12
CG32225	12
fend	12
Argk	12
hth	12
svp	12
Proc	12
CR45312	12
CG6329	12
Hmx	12
CG15478	12
nrv3	12
CG32017	12
Hexo2	12
Dat	12
nAChRalpha7	12
Nos	12
Eip63F-1	12
Pdp1	12
Hasp	12
Nplp1	12
CG9328	12
CG14757	12
RapGAP1	12
GluClalpha	12
slgA	12
beat-IIIb	12
levy	12
twz	12
ATPsynbeta	12
shi	12
TfAP-2	12
SoxN	12
mtd	12
nSyb	12
cu	12
Ald	12
Ssadh	12
Octbeta2R	12
Pdfr	12
Syt1	12
bol	12
CG32698	12
Snap25	12
CG2082	12
bi	12
CG13229	12
ru	12
Cisd2	12
CG42458	12
CG1907	12
DIP-zeta	12
IscU	12
TM4SF	12
cindr	12
ATPsynF	12
CG42392	12
CG42750	12
CG11267	12
sif	12
COX6B	12
Nckx30C	12
CG3726	12
Vha26	12
Cyt-c-p	12
Vha13	12
CG31808	12
ct	12
nwk	12
CG17716	12
Sdc	12
Pvf3	12
NaCP60E	12
l(1)G0156	12
CG18815	12
RFeSP	12
mAChR-A	12
CG34351	12
CG6044	12
CG6330	12
Pgk	12
beat-IV	12
CG32278	12
CG4678	12
dpr11	12
CR45332	12
CadN2	12
CG34384	12
CG32544	12
QIL1	12
COX5A	12
SNF4Agamma	12
Vha55	12
Ktl	12
St3	12
kdn	12
CG18208	12
EndoA	12
CG32432	12
gammaSnap2	12
Hsp60A	12
ATPsynB	12
Tomosyn	12
ATPsynD	12
Tpi	12
Gasz	12
Hr38	12
CG7407	12
Vha44	12
COX8	12
Pglym78	12
CG9674	12
nAChRalpha5	12
Sfxn1-3	12
sNPF	12
CG17839	12
ND-20	12
robo3	12
CG32264	12
P5CDh1	12
ND-49	12
CG16833	12
app	12
Tsp42Ej	12
Cchl	12
CG1640	12
ND-19	12
CG13954	12
CG4238	12
LpR1	12
CG7582	12
CG13384	12
beat-VII	12
CG42668	12
PVRAP	12
CG13995	12
alpha-Man-Ia	12
CG42238	12
CG14372	12
CG7990	12
CG3955	12
CG1607	12
CG11050	12
CG30089	12
CR45333	12
EndoB	12
Hsp83	12
Rh7	12
Oct-TyrR	12
CG11537	12
CR41597	12
l(3)02640	12
mAChR-B	12
CG6006	12
Dyrk2	12
DIP-beta	12
CG8620	12
sfl	12
nkd	12
Hsp68	12
CG15765	12
5-HT1A	12
Hsp70Bc	12
acj6	13
CR45223	13
fkh	13
CG15628	13
beat-IIIc	13
CG14509	13
bi	13
nAChRalpha7	13
MRE23	13
CG14322	13
futsch	13
CG43902	13
VAChT	13
salr	13
nAChRalpha5	13
NaCP60E	13
Cow	13
toy	13
tipE	13
CG33181	13
CG15765	13
Hs3st-A	13
salm	13
beat-Va	13
Hk	13
para	13
Frq1	13
kn	13
shakB	13
beat-Vc	13
Camta	13
Syp	13
Rdl	13
CG1648	13
rgn	13
CG32647	13
CG31345	13
beat-Vb	13
trv	13
igl	13
mbl	13
cindr	13
CAH2	13
CG43737	13
cpo	13
Cadps	13
tutl	13
qvr	13
inaE	13
hig	13
CG31221	13
CG2993	13
scrt	13
Appl	13
Shab	13
nAChRbeta1	13
Syt1	13
Frq2	13
Lim3	13
sif	13
ND-B22	13
Ace	13
dpr1	13
CG1513	13
Gfrl	13
ST6Gal	13
br	13
CanA-14F	13
CG7381	13
CG34114	13
pyd	13
sta	13
Spn	13
Calx	13
CG43658	13
CG8245	13
CG34370	13
CG14015	13
CG13928	13
CG17124	13
Drep3	13
kek2	13
CG32856	13
CG3556	13
Nadsyn	13
CG11317	13
Dscam3	13
Nca	13
nAChRalpha3	13
CG42674	13
numb	13
nAChRalpha6	13
emc	13
tup	13
CG42795	13
Gdh	13
CG3967	13
CG3961	13
Ac78C	13
comt	13
CG34354	13
CG8620	13
Ccn	13
eIF4EHP	13
unc79	13
CG42750	13
pHCl-1	13
AstC-R2	13
drongo	13
Got2	13
CG2258	13
nAChRbeta2	13
eag	13
CG5644	13
CG33143	13
CG13365	13
egh	13
CG42668	13
dpr20	13
CG10508	13
CG6006	13
sda	13
Atox1	13
CG34393	13
Teh2	13
MED21	13
CG5149	13
CG6154	13
GluClalpha	13
Adk1	13
CR45332	13
betaTub56D	13
Gpdh	13
qtc	13
cdi	13
CG33543	13
orb2	13
zld	13
nAChRalpha1	13
CG31690	13
CG18428	13
CG4168	13
alpha-Man-Ia	13
CG8861	13
CG15803	13
Octbeta3R	13
BicD	13
NK7.1	13
Rh7	13
Ucp4A	13
CG11638	13
app	13
trn	13
CG9377	14
CG16743	14
Tsf1	14
Ugt35b	14
CG8369	14
CG31706	14
GstD9	14
CG3940	14
CG10433	14
CG9686	14
CAH1	14
Msr-110	14
CG9657	14
CG5895	14
nrv2	14
MtnA	14
CG7888	14
vir-1	14
CG4409	14
CG7607	14
CG1552	14
CG15209	14
CG14141	14
Sod3	14
CG15201	14
CG7084	14
euc	14
CG31248	14
bnb	14
CG9507	14
CG10513	14
CG32521	14
List	14
CG14945	14
N	14
Cyp28d1	14
CG6357	14
axo	14
Treh	14
mgl	14
apolpp	14
MRE16	14
SPARC	14
Idgf3	14
CG31663	14
CG31676	14
trol	14
GstE2	14
Spn43Ab	14
Rh50	14
CG9691	14
CG5758	14
CG42613	14
Picot	14
dally	14
CG1545	14
Pkn	14
CG11407	14
zyd	14
Gs2	14
CG31869	14
Dbi	14
CG30197	14
CG6287	14
CR45161	14
mfas	14
GlcAT-P	14
Inx3	14
CG4829	14
GstE12	14
Pcyt2	14
CG31705	14
Inx2	14
Invadolysin	14
ana	14
CG12177	14
Npc2a	14
wtrw	14
CG10527	14
Cyp28a5	14
bdl	14
Gel	14
ogre	14
CG10514	14
CG32032	14
ced-6	14
Pdk	14
CR43334	14
AnxB9	14
Sirup	14
CG30285	14
CG12730	14
Cyp9f2	14
CG8745	14
CG6218	14
Lsd-2	14
HDAC6	14
CG10863	14
CG31974	14
Irk2	14
CG7966	14
Csas	14
Mdh1	14
Got1	14
Aldh	14
hoe1	14
CG5254	14
CG7509	14
CG2277	14
CG9394	14
CAP	14
Timp	14
Oatp58Dc	14
CG6723	14
CG42235	14
CG2852	14
CDase	14
CG12926	14
Irk3	14
nemy	14
Tsp5D	14
RpL22	14
Idgf4	14
GstE1	14
alrm	14
CG13707	14
CG17896	14
DNaseII	14
CR44998	14
fabp	14
CG31344	14
eEF1alpha1	14
CG5404	14
CR44107	14
Fhos	14
CG10960	14
CG13631	14
CR43259	14
CR17025	14
Mal-A5	14
nuf	14
CG15098	14
ClC-a	14
Hnf4	14
Sodh-2	14
Adgf-D	14
GstE6	14
repo	14
Eip71CD	14
CG17508	14
Elal	14
CG12355	14
wdp	14
Hydr1	14
Idh	14
CG6770	14
Tsp42Ee	14
Jheh3	14
Orct	14
Ugt86Dd	14
Cyp4g15	14
SLC22A	14
spir	14
santa-maria	14
CG10311	14
Jheh1	14
Gabat	14
Cyp1	14
mlt	14
sky	14
Proc-R	14
CG17841	14
teq	14
RpL41	14
RpLP1	14
Eno	14
