sampleID	driverType	driver	celltype	cells.per.brain	intact.protocol	intact.reporter	yield.nuclei.thousands	yield.cdna.ng_uL	fastq
s033	pureCellType	T1_d1	T1	1600	INTACT	10XUAS_UNC84_attP2	180	287	150507_SN651_0393_AH572MBCXX/Sample_L_G_L21_1.fastq.gz
s034	pureCellType	T1_d1	T1	1600	INTACT	10XUAS_UNC84_attP2	144	260	150507_SN651_0393_AH572MBCXX/Sample_L_G_L22_1.fastq.gz
s035	pureCellType	Lai_d1	Lai	300	INTACT	10XUAS_UNC84_attP2	36	233	150507_SN651_0393_AH572MBCXX/Sample_L_G_L23_1.fastq.gz
s036	pureCellType	Lai_d1	Lai	300	INTACT	10XUAS_UNC84_attP2	45	203	150507_SN651_0393_AH572MBCXX/Sample_L_G_L24_1.fastq.gz
s037	comboCellTypes	L1.L2_d1	L1.L2	3200	INTACT	10XUAS_UNC84_attP2	81	257	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L25_1.fastq.gz
s038	comboCellTypes	L1.L2_d1	L1.L2	3200	INTACT	10XUAS_UNC84_attP2	95	247	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L26_1.fastq.gz
s039	comboCellTypes	L1.L2_d2	L1.L2	3200	INTACT	10XUAS_UNC84_attP2	112	237	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L27_1.fastq.gz
s040	comboCellTypes	L1.L2_d2	L1.L2	3200	INTACT	10XUAS_UNC84_attP2	110	260	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L28_1.fastq.gz
s041	comboCellTypes	C2.C3_d1	C2.C3	3200	INTACT	10XUAS_UNC84_attP2	200	263	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L29_1.fastq.gz
s042	comboCellTypes	C2.C3_d1	C2.C3	3200	INTACT	10XUAS_UNC84_attP2	200	230	150507_SN651_0394_BH53WHBCXX/Sample_L_G_L30_1.fastq.gz
s043	pureCellType	R1-6_d1	R1-6	9600	INTACT	10XUAS_UNC84_attP2	unk	150	151109_SN651_0481_AHFFKGBCXX/Sample_LH_3_1.fastq.gz
s044	pureCellType	R1-6_d1	R1-6	9600	INTACT	10XUAS_UNC84_attP2	unk	130	151109_SN651_0481_AHFFKGBCXX/Sample_LH_4_1.fastq.gz
s045	pureCellType	Dm12_d1	Dm12	250	INTACT	10XUAS_UNC84_attP2	4	137	151110_SN651_0484_AHFC7TBCXX/Sample_LH_49_1.fastq.gz
s046	pureCellType	Dm12_d1	Dm12	250	INTACT	10XUAS_UNC84_attP2	6	133	151110_SN651_0484_AHFC7TBCXX/Sample_LH_50_1.fastq.gz
s047	pureCellType	Tm1_d1	Tm1	1600	TAPIN	10XUAS_UNC84_attP2	30	197	160809_SN651_0567_AHWNTMBCXX/Sample_LH_4_1.fastq.gz
s048	pureCellType	Tm1_d1	Tm1	1600	TAPIN	10XUAS_UNC84_attP2	32	181	160809_SN651_0568_BHW2NHBCXX/Sample_LH_9_1.fastq.gz
s049	broad	NPF_d1	NPF	23	TAPIN	10XUAS_UNC84_attP2	26	122	160812_SN651_0570_AHVVYWBCXX/Sample_LH_21_1.fastq.gz
s050	broad	NPF_d1	NPF	23	TAPIN	10XUAS_UNC84_attP2	23	120	160812_SN651_0570_AHVVYWBCXX/Sample_LH_22_1.fastq.gz
s051	broad	Dsk_d1	Dsk	NA	TAPIN	10XUAS_UNC84_attP2	6	77	160812_SN651_0570_AHVVYWBCXX/Sample_LH_23_1.fastq.gz
s052	broad	Dsk_d1	Dsk	NA	TAPIN	10XUAS_UNC84_attP2	5	65	160812_SN651_0570_AHVVYWBCXX/Sample_LH_24_1.fastq.gz
s053	broad	Ilp2_d1	Ilp2	NA	TAPIN	10XUAS_UNC84_attP2	20	101	160818_SN651_0571_AHVWVNBCXX/Sample_LH_25_1.fastq.gz
s054	broad	Ilp2_d1	Ilp2	NA	TAPIN	10XUAS_UNC84_attP2	20	99	160818_SN651_0571_AHVWVNBCXX/Sample_LH_26_1.fastq.gz
s055	broad	Crz_d1	Crz	NA	TAPIN	10XUAS_UNC84_attP2	50	144	160818_SN651_0571_AHVWVNBCXX/Sample_LH_27_1.fastq.gz
s056	broad	Crz_d1	Crz	NA	TAPIN	10XUAS_UNC84_attP2	50	127	160818_SN651_0571_AHVWVNBCXX/Sample_LH_28_1.fastq.gz
s057	broad	Kdm2_d1	Kdm2	NA	TAPIN	10XUAS_UNC84_attP2	18	120	160818_SN651_0571_AHVWVNBCXX/Sample_LH_29_1.fastq.gz
s058	broad	Kdm2_d1	Kdm2	NA	TAPIN	10XUAS_UNC84_attP2	26	112	160818_SN651_0571_AHVWVNBCXX/Sample_LH_30_1.fastq.gz
s059	pureCellType	R7_Rh3_d1	R7_Rh3	640	TAPIN	10XUAS_UNC84_attP2	10.5	141	160902_SN651_0574_AHW2NGBCXX/Sample_LH_31_1.fastq.gz
s060	pureCellType	R7_Rh3_d1	R7_Rh3	640	TAPIN	10XUAS_UNC84_attP2	5	179	160902_SN651_0574_AHW2NGBCXX/Sample_LH_32_1.fastq.gz
s061	pureCellType	R8_Rh5_d1	R8_Rh5	640	TAPIN	10XUAS_UNC84_attP2	23	185	160902_SN651_0574_AHW2NGBCXX/Sample_LH_33_1.fastq.gz
s062	pureCellType	R8_Rh5_d1	R8_Rh5	640	TAPIN	10XUAS_UNC84_attP2	22	180	160902_SN651_0574_AHW2NGBCXX/Sample_LH_34_1.fastq.gz
s063	pureCellType	R8_Rh6_d1	R8_Rh6	960	TAPIN	10XUAS_UNC84_attP2	33	183	160902_SN651_0574_AHW2NGBCXX/Sample_LH_35_1.fastq.gz
s064	pureCellType	R8_Rh6_d1	R8_Rh6	960	TAPIN	10XUAS_UNC84_attP2	32	184	160902_SN651_0574_AHW2NGBCXX/Sample_LH_36_1.fastq.gz
s065	pureCellType	R7_d1	R7	1600	TAPIN	10XUAS_UNC84_attP2	10	166	160902_SN651_0574_AHW2NGBCXX/Sample_LH_37_1.fastq.gz
s066	pureCellType	R7_d1	R7	1600	TAPIN	10XUAS_UNC84_attP2	9	163	160902_SN651_0574_AHW2NGBCXX/Sample_LH_38_1.fastq.gz
s067	pureCellType	R1-6_d1	R1-6	9600	TAPIN	10XUAS_UNC84_attP2	22	208	160902_SN651_0575_BHY3TYBCXX/Sample_LH_39_1.fastq.gz
s068	pureCellType	R1-6_d1	R1-6	9600	TAPIN	10XUAS_UNC84_attP2	23	170	160902_SN651_0575_BHY3TYBCXX/Sample_LH_40_1.fastq.gz
s069	dissected	opticlobe_d1	opticlobe	NA	bulk	NA	unk	218	160902_SN651_0575_BHY3TYBCXX/Sample_LH_41_1.fastq.gz
s070	dissected	lamina_d1	lamina	NA	bulk	NA	unk	197	160902_SN651_0575_BHY3TYBCXX/Sample_LH_42_1.fastq.gz
s071	dissected	opticlobe_d2	opticlobe	NA	bulk	NA	unk	215	160902_SN651_0575_BHY3TYBCXX/Sample_LH_43_1.fastq.gz
s072	dissected	lamina_d2	lamina	NA	bulk	NA	unk	173	160902_SN651_0575_BHY3TYBCXX/Sample_LH_44_1.fastq.gz
s073	dissected	opticlobe_d1	opticlobe	NA	bulk	NA	unk	209	160902_SN651_0575_BHY3TYBCXX/Sample_LH_45_1.fastq.gz
s074	dissected	lamina_d1	lamina	NA	bulk	NA	unk	191	160902_SN651_0575_BHY3TYBCXX/Sample_LH_46_1.fastq.gz
s075	dissected	opticlobe_d2	opticlobe	NA	bulk	NA	unk	203	160906_SN651_0576_AHY3NKBCXX/Sample_LH_47_1.fastq.gz
s076	dissected	lamina_d2	lamina	NA	bulk	NA	unk	182	160906_SN651_0576_AHY3NKBCXX/Sample_LH_48_1.fastq.gz
s077	pureCellType	TmY3_d1	TmY3	400	TAPIN	10XUAS_UNC84_attP2	28	191	160909_SN651_0578_AHYF5VBCXX/Sample_LH_51_1.fastq.gz
s078	pureCellType	TmY3_d1	TmY3	400	TAPIN	10XUAS_UNC84_attP2	29	201	160909_SN651_0578_AHYF5VBCXX/Sample_LH_52_1.fastq.gz
s079	pureCellType	Dm10_d1	Dm10	600	TAPIN	10XUAS_UNC84_attP2	31	201	160909_SN651_0578_AHYF5VBCXX/Sample_LH_53_1.fastq.gz
s080	pureCellType	Dm10_d1	Dm10	600	TAPIN	10XUAS_UNC84_attP2	35	216	160909_SN651_0578_AHYF5VBCXX/Sample_LH_54_1.fastq.gz
s081	pureCellType	Dm9_d1	Dm9	220	TAPIN	10XUAS_UNC84_attP2	32	201	160909_SN651_0578_AHYF5VBCXX/Sample_LH_55_1.fastq.gz
s082	pureCellType	Dm9_d1	Dm9	220	TAPIN	10XUAS_UNC84_attP2	30	191	160909_SN651_0578_AHYF5VBCXX/Sample_LH_56_1.fastq.gz
s083	pureCellType	Dm11_d1	Dm11	140	TAPIN	10XUAS_UNC84_attP2	12.5	162	160909_SN651_0578_AHYF5VBCXX/Sample_LH_57_1.fastq.gz
s084	pureCellType	Dm11_d1	Dm11	140	TAPIN	10XUAS_UNC84_attP2	17.5	192	160909_SN651_0578_AHYF5VBCXX/Sample_LH_58_1.fastq.gz
s085	pureCellType	Pm4_d1	Pm4	140	TAPIN	10XUAS_UNC84_attP2	14.5	158	160909_SN651_0579_BHY3FFBCXX/Sample_LH_59_1.fastq.gz
s086	pureCellType	Pm4_d1	Pm4	140	TAPIN	10XUAS_UNC84_attP2	15.5	172	160909_SN651_0579_BHY3FFBCXX/Sample_LH_60_1.fastq.gz
s087	pureCellType	Mi15_d2	Mi15	1400	TAPIN	10XUAS_UNC84_attP2	31	174	160909_SN651_0579_BHY3FFBCXX/Sample_LH_61_1.fastq.gz
s088	pureCellType	Mi15_d2	Mi15	1400	TAPIN	10XUAS_UNC84_attP2	30.5	178	160909_SN651_0579_BHY3FFBCXX/Sample_LH_62_1.fastq.gz
s089	pureCellType	TmY5a_d1	TmY5a	1500	TAPIN	10XUAS_UNC84_attP2	27	184	160909_SN651_0579_BHY3FFBCXX/Sample_LH_63_1.fastq.gz
s090	pureCellType	TmY5a_d1	TmY5a	1500	TAPIN	10XUAS_UNC84_attP2	29	193	160909_SN651_0579_BHY3FFBCXX/Sample_LH_64_1.fastq.gz
s091	pureCellType	LLPC1_d1	LLPC1	200	TAPIN	10XUAS_UNC84_attP2	17	179	160909_SN651_0579_BHY3FFBCXX/Sample_LH_65_1.fastq.gz
s092	pureCellType	LLPC1_d1	LLPC1	200	TAPIN	10XUAS_UNC84_attP2	18.5	178	160909_SN651_0579_BHY3FFBCXX/Sample_LH_66_1.fastq.gz
s093	pureCellType	LPC1_d1	LPC1	200	TAPIN	10XUAS_UNC84_attP2	22	163	160912_SN651_0580_AHY3TFBCXX/Sample_LH_67_1.fastq.gz
s094	pureCellType	LPC1_d1	LPC1	200	TAPIN	10XUAS_UNC84_attP2	19	171	160912_SN651_0580_AHY3TFBCXX/Sample_LH_68_1.fastq.gz
s095	pureCellType	LC10a_d1	LC10a	200	TAPIN	10XUAS_UNC84_attP2	10	156	160912_SN651_0580_AHY3TFBCXX/Sample_LH_69_1.fastq.gz
s096	pureCellType	LC10a_d1	LC10a	200	TAPIN	10XUAS_UNC84_attP2	9	150	160912_SN651_0580_AHY3TFBCXX/Sample_LH_70_1.fastq.gz
s097	pureCellType	LPC1_d2	LPC1	200	TAPIN	10XUAS_UNC84_attP2	22	143	160912_SN651_0580_AHY3TFBCXX/Sample_LH_71_1.fastq.gz
s098	pureCellType	LPC1_d2	LPC1	200	TAPIN	10XUAS_UNC84_attP2	18	152	160912_SN651_0580_AHY3TFBCXX/Sample_LH_72_1.fastq.gz
s099	pureCellType	LC10b_d1	LC10b	100	TAPIN	10XUAS_UNC84_attP2	10	128	160912_SN651_0580_AHY3TFBCXX/Sample_LH_73_1.fastq.gz
s100	pureCellType	LC10b_d1	LC10b	100	TAPIN	10XUAS_UNC84_attP2	7.2	147	160912_SN651_0580_AHY3TFBCXX/Sample_LH_74_1.fastq.gz
s101	pureCellType	Dm4_d2	Dm4	80	TAPIN	10XUAS_UNC84_attP2	14	161	160912_SN651_0581_BHYF3HBCXX/Sample_LH_75_1.fastq.gz
s102	pureCellType	Dm4_d2	Dm4	80	TAPIN	10XUAS_UNC84_attP2	16.5	167	160912_SN651_0581_BHYF3HBCXX/Sample_LH_76_1.fastq.gz
s103	pureCellType	LC16_d1	LC16	100	TAPIN	10XUAS_UNC84_attP2	20	156	160912_SN651_0581_BHYF3HBCXX/Sample_LH_77_1.fastq.gz
s104	pureCellType	LC16_d1	LC16	100	TAPIN	10XUAS_UNC84_attP2	24	148	160912_SN651_0581_BHYF3HBCXX/Sample_LH_78_1.fastq.gz
s105	pureCellType	LC16_d2	LC16	100	TAPIN	10XUAS_UNC84_attP2	18	154	160912_SN651_0581_BHYF3HBCXX/Sample_LH_79_1.fastq.gz
s106	pureCellType	LC16_d2	LC16	100	TAPIN	10XUAS_UNC84_attP2	16	126	160912_SN651_0581_BHYF3HBCXX/Sample_LH_80_1.fastq.gz
s107	pureCellType	LPLC1_d1	LPLC1	100	TAPIN	10XUAS_UNC84_attP2	8.5	162	160927_SN651_0583_AH3NV7BCXY/Sample_LH_83_1.fastq.gz
s108	pureCellType	LPLC1_d1	LPLC1	100	TAPIN	10XUAS_UNC84_attP2	12.4	158	160927_SN651_0583_AH3NV7BCXY/Sample_LH_84_1.fastq.gz
s109	pureCellType	LPLC2_d1	LPLC2	100	TAPIN	10XUAS_UNC84_attP2	24	188	160927_SN651_0583_AH3NV7BCXY/Sample_LH_85_1.fastq.gz
s110	pureCellType	LPLC2_d1	LPLC2	100	TAPIN	10XUAS_UNC84_attP2	24	193	160927_SN651_0583_AH3NV7BCXY/Sample_LH_86_1.fastq.gz
s111	pureCellType	LC6_d1	LC6	100	TAPIN	10XUAS_UNC84_attP2	24	175	160927_SN651_0583_AH3NV7BCXY/Sample_LH_87_1.fastq.gz
s112	pureCellType	LC6_d1	LC6	100	TAPIN	10XUAS_UNC84_attP2	22	166	160927_SN651_0583_AH3NV7BCXY/Sample_LH_88_1.fastq.gz
s113	pureCellType	LC6_d2	LC6	100	TAPIN	10XUAS_UNC84_attP2	24	156	160927_SN651_0583_AH3NV7BCXY/Sample_LH_89_1.fastq.gz
s114	pureCellType	LC6_d2	LC6	100	TAPIN	10XUAS_UNC84_attP2	20	128	160927_SN651_0583_AH3NV7BCXY/Sample_LH_90_1.fastq.gz
s115	pureCellType	LC4_d1	LC4	60	TAPIN	10XUAS_UNC84_attP2	35	175	160927_SN651_0584_BH3N2MBCXY/Sample_LH_91_1.fastq.gz
s116	pureCellType	LC4_d1	LC4	60	TAPIN	10XUAS_UNC84_attP2	37	180	160927_SN651_0584_BH3N2MBCXY/Sample_LH_92_1.fastq.gz
s117	pureCellType	Dm4_d1	Dm4	80	TAPIN	10XUAS_UNC84_attP2	11.2	142	160927_SN651_0584_BH3N2MBCXY/Sample_LH_93_1.fastq.gz
s118	pureCellType	Dm4_d1	Dm4	80	TAPIN	10XUAS_UNC84_attP2	12.5	160	160927_SN651_0584_BH3N2MBCXY/Sample_LH_94_1.fastq.gz
s119	pureCellType	PB_4_d1	PB_4	NA	TAPIN	10XUAS_UNC84_attP2	10.6	132	160927_SN651_0584_BH3N2MBCXY/Sample_LH_95_1.fastq.gz
s120	pureCellType	PB_4_d1	PB_4	NA	TAPIN	10XUAS_UNC84_attP2	13.3	144	160927_SN651_0584_BH3N2MBCXY/Sample_LH_96_1.fastq.gz
s121	pureCellType	PB_4_d2	PB_4	NA	TAPIN	10XUAS_UNC84_attP2	24	157	160927_SN651_0584_BH3N2MBCXY/Sample_LH_97_1.fastq.gz
s122	pureCellType	PB_4_d2	PB_4	NA	TAPIN	10XUAS_UNC84_attP2	20	154	160927_SN651_0584_BH3N2MBCXY/Sample_LH_98_1.fastq.gz
s123	pureCellType	Pm3_d1	Pm3	60	TAPIN	10XUAS_UNC84_attP2	21	153	160928_SN651_0585_AHYT5KBCXX/Sample_LH_101_1.fastq.gz
s124	pureCellType	Pm3_d1	Pm3	60	TAPIN	10XUAS_UNC84_attP2	29	148	160928_SN651_0585_AHYT5KBCXX/Sample_LH_102_1.fastq.gz
s125	pureCellType	PB_5_d1	PB_5	100	TAPIN	10XUAS_UNC84_attP2	5.2	147	160928_SN651_0585_AHYT5KBCXX/Sample_LH_103_1.fastq.gz
s126	pureCellType	PB_5_d1	PB_5	100	TAPIN	10XUAS_UNC84_attP2	4.6	141	160928_SN651_0585_AHYT5KBCXX/Sample_LH_104_1.fastq.gz
s127	pureCellType	PB_2_d1	PB_2	24	TAPIN	10XUAS_UNC84_attP2	8.9	128	160928_SN651_0585_AHYT5KBCXX/Sample_LH_105_1.fastq.gz
s128	pureCellType	PB_2_d1	PB_2	24	TAPIN	10XUAS_UNC84_attP2	7.6	141	160928_SN651_0585_AHYT5KBCXX/Sample_LH_106_1.fastq.gz
s129	pureCellType	PB_1_d1	PB_1	36	TAPIN	10XUAS_UNC84_attP2	10.2	155	160928_SN651_0585_AHYT5KBCXX/Sample_LH_109_1.fastq.gz
s130	pureCellType	PB_1_d1	PB_1	36	TAPIN	10XUAS_UNC84_attP2	9.7	152	160928_SN651_0585_AHYT5KBCXX/Sample_LH_110_1.fastq.gz
s131	pureCellType	LPi-34_d1	LPi-34	40	TAPIN	10XUAS_UNC84_attP2	4.5	141	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_113_1.fastq.gz
s132	pureCellType	LPi-34_d1	LPi-34	40	TAPIN	10XUAS_UNC84_attP2	4.8	146	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_114_1.fastq.gz
s133	pureCellType	PB_3_d1	PB_3	20	TAPIN	10XUAS_UNC84_attP2	10.5	147	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_117_1.fastq.gz
s134	pureCellType	PB_3_d1	PB_3	20	TAPIN	10XUAS_UNC84_attP2	13.5	132	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_118_1.fastq.gz
s135	pureCellType	PB_6_d1	PB_6	36	TAPIN	10XUAS_UNC84_attP2	5.2	86	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_119_1.fastq.gz
s136	pureCellType	PB_6_d1	PB_6	36	TAPIN	10XUAS_UNC84_attP2	3.8	81	160928_SN651_0586_BHYYJ7BCXX/Sample_LH_120_1.fastq.gz
s137	pureCellType	Glia_Mg_d1	Glia_Mg	250	TAPIN	10XUAS_UNC84_attP2	12	131	161110_SN651_0606_AH3NYFBCXY/Sample_LH_125_1.fastq.gz
s138	pureCellType	Glia_Mg_d1	Glia_Mg	250	TAPIN	10XUAS_UNC84_attP2	13	138	161110_SN651_0606_AH3NYFBCXY/Sample_LH_126_1.fastq.gz
s139	pureCellType	Glia_Psg_d1	Glia_Psg	600	TAPIN	10XUAS_UNC84_attP2	27	134	161110_SN651_0606_AH3NYFBCXY/Sample_LH_127_1.fastq.gz
s140	pureCellType	Glia_Psg_d1	Glia_Psg	600	TAPIN	10XUAS_UNC84_attP2	28	154	161110_SN651_0606_AH3NYFBCXY/Sample_LH_128_1.fastq.gz
s141	pureCellType	Glia_Psg_d2	Glia_Psg	600	TAPIN	10XUAS_UNC84_attP2	15	128	161110_SN651_0606_AH3NYFBCXY/Sample_LH_129_1.fastq.gz
s142	pureCellType	Glia_Psg_d2	Glia_Psg	600	TAPIN	10XUAS_UNC84_attP2	17	128	161110_SN651_0606_AH3NYFBCXY/Sample_LH_130_1.fastq.gz
s143	pureCellType	Glia_Eg_d1	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	25	152	161110_SN651_0606_AH3NYFBCXY/Sample_LH_131_1.fastq.gz
s144	pureCellType	Glia_Eg_d1	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	28	137	161110_SN651_0606_AH3NYFBCXY/Sample_LH_132_1.fastq.gz
s145	pureCellType	Glia_Eg_d3	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	16	144	161110_SN651_0607_BH3NHFBCXY/Sample_LH_133_1.fastq.gz
s146	pureCellType	Glia_Eg_d3	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	21	157	161110_SN651_0607_BH3NHFBCXY/Sample_LH_134_1.fastq.gz
s147	pureCellType	Glia_Eg_d2	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	21	111	161110_SN651_0607_BH3NHFBCXY/Sample_LH_135_1.fastq.gz
s148	pureCellType	Glia_Eg_d2	Glia_Eg	1300	TAPIN	10XUAS_UNC84_attP2	26	117	161110_SN651_0607_BH3NHFBCXY/Sample_LH_136_1.fastq.gz
s149	pureCellType	Tm29_d1	Tm29	200	TAPIN	10XUAS_UNC84_attP2	16	140	161110_SN651_0607_BH3NHFBCXY/Sample_LH_137_1.fastq.gz
s150	pureCellType	Tm29_d1	Tm29	200	TAPIN	10XUAS_UNC84_attP2	168	149	161110_SN651_0607_BH3NHFBCXY/Sample_LH_138_1.fastq.gz
s151	pureCellType	Dm8_d1	Dm8	1600	TAPIN	10XUAS_UNC84_attP2	36	155	161110_SN651_0607_BH3NHFBCXY/Sample_LH_139_1.fastq.gz
s152	pureCellType	Dm8_d1	Dm8	1600	TAPIN	10XUAS_UNC84_attP2	35.2	151	161110_SN651_0607_BH3NHFBCXY/Sample_LH_140_1.fastq.gz
s153	pureCellType	Tm20_d1	Tm20	1600	TAPIN	10XUAS_UNC84_attP2	36	177	161111_SN651_0608_AH5MF3BCXY/Sample_LH_141_1.fastq.gz
s154	pureCellType	Tm20_d1	Tm20	1600	TAPIN	10XUAS_UNC84_attP2	32	172	161111_SN651_0608_AH5MF3BCXY/Sample_LH_142_1.fastq.gz
s155	pureCellType	Lawf1_d2	Lawf1	200	TAPIN	10XUAS_UNC84_attP2	14.4	170	161111_SN651_0608_AH5MF3BCXY/Sample_LH_143_1.fastq.gz
s156	pureCellType	Lawf1_d2	Lawf1	200	TAPIN	10XUAS_UNC84_attP2	13.8	177	161111_SN651_0608_AH5MF3BCXY/Sample_LH_144_1.fastq.gz
