gene_name	cluster_id
RpL22	4
Tsp5D	4
CG7607	4
vir-1	4
CG8369	3
CG31663	3
trol	3
Ugt35b	3
bnb	3
CG3940	3
CG9507	3
CG10513	3
CG7509	3
CG16743	3
CG15522	43
CG14274	43
Nrg	43
Crz	43
CG2016	43
Eaat1	43
CG43795	43
CG11000	43
AMPdeam	43
CG9932	43
CG8641	25
CG12994	25
Frq1	25
Eip63F-1	25
beat-VII	25
dpr3	25
Ddc	25
CG3257	25
tim	25
dpr11	25
CG14989	21
Gad1	21
Dh44	21
sNPF	21
jeb	21
CG32700	21
CG34155	21
D	21
CG15236	21
CG8916	21
CG9394	14
Gs2	14
Tsp5D	14
Inx2	14
CR42491	14
CG7607	14
CG15209	14
Adgf-D	14
ogre	14
CG8916	51
Hsp68	51
SoxN	51
DnaJ-1	51
Hsp70Bc	51
CG42750	51
beat-Ic	51
Adgf-D	51
Slip1	51
brat	51
VGlut	20
CG1402	20
jdp	20
Octbeta1R	20
Ca-alpha1T	20
Corin	20
CG13739	20
shakB	20
Nplp1	20
Gad1	8
CG14989	8
beat-VII	8
Eip63F-1	8
Pvf3	8
GluRIB	8
Octbeta1R	8
CG44422	8
Nos	8
Toll-6	8
mt:CoII	22
CG8160	22
CG3822	39
CG42540	39
CG6044	39
CG1358	39
CG34355	39
VGlut	39
CG2016	39
Scp2	39
jdp	39
Dgk	39
CG15628	1
Gfrl	1
mbl	1
shakB	1
Corin	1
VGlut	1
Gad1	1
CG11317	1
Nplp1	1
CG15209	54
mbl	54
Gad1	54
CG11294	54
Adgf-D	54
shakB	54
2mit	54
sNPF	54
CG11317	54
CG15628	46
beat-IIIc	46
CG34354	46
CG15765	46
Gfrl	46
2mit	46
CG43902	46
eys	46
wde	46
jeb	29
CG43902	29
VGlut	18
D	18
CG8916	18
Nplp1	18
Corin	18
Scp2	18
jdp	18
CG2082	18
SoxN	18
CG9686	48
mnd	48
CG7607	48
CG14141	48
CG17839	48
CG10513	48
MtnA	48
CG42750	48
Hsp68	48
GstE2	48
jdp	27
rad	27
CR45621	9
mbl	9
Gfrl	9
CG15628	9
eys	9
dpr13	9
trn	9
mbl	42
shakB	42
VGlut	42
nAChRalpha7	31
Gad1	31
jdp	10
pros	10
Hsp67Bc	10
jeb	10
CG11317	10
Ddc	10
rad	10
kn	15
CG45781	15
Nplp1	15
VGlut	15
Dh31	15
CG4577	15
beat-Ic	15
D	15
sNPF	15
CG32017	15
ple	55
Vmat	55
sNPF	55
DAT	55
klg	55
Dh44-R1	55
beat-IIIb	55
CG5890	55
Ets65A	55
CG13743	55
CG17193	12
Tk	12
Pka-C3	12
CG43729	12
CG2016	12
Con	12
Pde1c	12
CG42346	12
Octbeta1R	12
sosie	17
Tk	17
CG17193	17
CG31221	17
Epac	17
Pka-C3	17
Cbp53E	17
Octbeta1R	17
Mmp2	17
Rh7	17
AstA	52
Gad1	52
CG14989	52
mAChR-B	52
CG4577	52
beat-Ic	52
CG32017	52
CG10257	52
Nplp1	52
rad	52
CG11294	13
Gad1	13
CG14989	13
CG8861	13
Nplp1	13
Proc	13
sNPF	13
CG13739	13
Lim3	13
